mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
-566.9641723632812,93.22382354736328,-12.903730392456055,-1.886694073677063,-5.6423115730285645,-11.275890350341797,4.557010173797607,0.9793499112129211,-14.132587432861328,-9.156355857849121,-6.065807819366455,-11.815648078918457,-6.713069915771484,0
-538.5123901367188,86.10037231445312,-17.458864212036133,-9.955921173095703,-9.405153274536133,-8.035759925842285,2.680769920349121,3.520005702972412,-12.046732902526855,-8.686521530151367,-5.073322772979736,-8.643549919128418,-4.8718438148498535,0
-571.7442016601562,93.2776107788086,-8.991927146911621,-3.670778274536133,-8.68765640258789,-9.744353294372559,3.3392558097839355,1.252814769744873,-14.737947463989258,-7.5184645652771,-7.971975326538086,-9.170062065124512,-5.657299995422363,0
-583.8545532226562,96.03445434570312,-17.763565063476562,-10.965357780456543,-3.0229663848876953,-11.304841041564941,-2.242262601852417,2.025914430618286,-10.953181266784668,-5.565777778625488,-7.7266130447387695,-8.163764953613281,-8.518095970153809,0
-489.618408203125,72.1875,-14.174771308898926,-4.2382354736328125,-1.6642833948135376,-9.408239364624023,-2.776766300201416,2.634493112564087,-0.3706865906715393,-1.5705571174621582,-8.0413236618042,-8.315131187438965,-10.971671104431152,0
-606.0543212890625,80.01486206054688,7.785256862640381,10.96959400177002,0.1328067034482956,-0.3411729037761688,-13.030607223510742,0.028358090668916702,-6.2628583908081055,-1.801937460899353,-8.347837448120117,-3.709754705429077,-8.960859298706055,1
-605.54052734375,68.2566146850586,1.4107835292816162,17.22018051147461,-1.1445260047912598,-0.37695470452308655,-9.339873313903809,-0.7469316720962524,-6.5502495765686035,-3.1320180892944336,-8.223654747009277,-4.9825639724731445,-8.018081665039062,1
-592.1946411132812,88.91145324707031,0.5941230058670044,6.1054229736328125,-4.109625816345215,-3.603482484817505,-10.86510181427002,-0.44205203652381897,-5.971023082733154,-0.9858579039573669,-10.85455322265625,-4.887507915496826,-9.471471786499023,1
-602.6681518554688,76.41526794433594,5.57130241394043,11.693276405334473,-4.303762435913086,0.9131786823272705,-10.333931922912598,-0.47315624356269836,-9.166936874389648,-2.8433661460876465,-7.077265739440918,-6.212939262390137,-8.612586975097656,1
-585.6242065429688,91.59857177734375,6.752756118774414,3.5687127113342285,-11.613651275634766,-0.9524219632148743,-8.292805671691895,-4.276317596435547,-12.212550163269043,-0.8965786695480347,-8.46909236907959,-5.274290084838867,-11.085187911987305,1
